Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S12000041,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,16.411035215198805
2011,S12000041,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,104.0924747459154
2011,S12000041,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,125.0209714760464
2011,S12000041,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,866.6324130059529
2011,S12000041,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,890.5221083973576
2011,S12000042,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000042,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,3.155541130224675
2011,S12000042,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,16.57457907940699
2011,S12000042,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,38.67741384243094
2011,S12000042,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,213.0510629521467
2011,S12000042,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,134.57648920595426
2011,S12000042,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1144.6995439358795
2011,S12000042,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,739.2616531643315
2011,S12000045,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000045,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000045,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,39.256926593273654
2011,S12000045,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,5.9346426285380005
2011,S12000045,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,40.83966348117291
2011,S12000045,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,33.40621963070942
2011,S12000045,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,865.4390633984616
2011,S12000045,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,722.8119465462762
2011,S12000047,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,0.965440006178816
2011,S12000047,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000047,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,21.565880277096294
2011,S12000047,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,13.28475287054048
2011,S12000047,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,153.26747699070094
2011,S12000047,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,99.42469504532356
2011,S12000047,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,809.9914719402271
2011,S12000047,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,895.7229744645236
2011,S12000048,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,3.285089448292692
2011,S12000048,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,6.105016763309136
2011,S12000048,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,14.452504568824596
2011,S12000048,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,9.018959745135216
2011,S12000048,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,80.96317909540561
